icao24,registration,manufacturername,model,typecode,operator,operatorcallsign,operatoricao,operatoriata
3c4b26,D-ABYF,Boeing,747 830,B748,,LUFTHANSA,DLH,
aa9093,N780AN,Boeing,777-223,B772,,AMERICAN,AAL,
3c6670,D-AISP,Airbus,A321 231,A321,,LUFTHANSA,DLH,
394a13,F-GSQT,Boeing,777 328ER,B77W,,AIRFRANS,AFR,
3453c1,EC-MPS,Boeing,737NG 800/W,B738,Air Europa,EUROPA,AEA,UX
484b90,PH-BGI,Boeing,737NG 7K2/W,B737,,KLM,KLM,
3007ee,I-ADJZ,,,E195,,,,
4ca295,EI-DEO,Airbus Industrie,A320-214,A320,Aer Lingus,SHAMROCK,EIN,EI
398566,F-HBLG,Embraer,EMB-190 STD,E190,Hop!,AIR HOP,HOP,A5
344498,EC-LYM,Airbus,A320 216SL,A320,,,IBS,
3c66a5,D-AIUE,Airbus,A320 214SL,A320,Lufthansa,LUFTHANSA,DLH,LH
02010d,CN-NMH,Airbus,A320 214,A320,Air Arabia Maroc,Air Arabia,,3O
400d5a,G-DBCG,Airbus Sas,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
abaf47,N852FD,Boeing Co,777-FS2,B77L,Federal Express,FEDEX,FDX,FX
471fad,HA-LZX,,,A21N,,,,
44008e,OE-GJR,,,C25B,,,,
346610,EC-NDB,,A320-271N,A20N,Vueling Airlines,VUELING,VLG,VY
3c656f,D-AIKO,Airbus,A330 343E,A333,,LUFTHANSA,DLH,
47bb0a,LN-RGL,Airbus,A320 251NSL,A20N,,SCANDINAVIAN,SAS,
789218,B-LXF,Airbus Industrie,,A35K,Cathay Pacific,CATHAY,CPA,CX
4ca4f5,EI-DPR,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
40621c,G-STBB,Boeing Company,BOEING 777-36NER,B77W,,SPEEDBIRD,BAW,
4b1939,HB-JOJ,,A319-112,A319,Chair Airlines,,GSW,
495277,CS-TSW,,,B772,,,,
4851f6,PH-BVS,Boeing,777 300ER,B77W,,KLM,KLM,
aa9bb8,N783AN,Boeing,777-223,B772,,AMERICAN,AAL,
44d068,OO-TCH,Airbus,A320 214,A320,Brussels Airlines,BEE-LINE,BEL,SN
406669,G-EZUO,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
aaa125,N784UA,Boeing,777-222,B772,,UNITED,UAL,
406891,G-ZBJD,Boeing Company,BOEING 787-8 Dreamliner,B788,,SPEEDBIRD,BAW,
4854ca,PH-HBK,,,B738,,,,
3c15be,D-AXGB,Airbus,A330 203,A332,,EUROWINGS,EWG,
780a3b,B-KQI,Boeing,777 367ER,B77W,,CATHAY,CPA,
8964ff,A6-BMD,,787-10 Dreamliner,B78X,Etihad Airways,ETIHAD,ETD,EY
406f78,G-ZBKL,Boeing Company,BOEING 787-9 Dreamliner,B789,,SPEEDBIRD,BAW,
39c428,F-HRBI,Boeing,787-9,B789,Air France,AIRFRANS,AFR,AF
4b18ba,HB-JJM,Airbus,A320-214,A320,Edelweiss Air,EDELWEISS,EDW,WK
4acb04,SE-RXD,,,B738,,,,
3c65c8,D-AINH,Airbus,A320 271NSL,A20N,,LUFTHANSA,DLH,
424462,VQ-BXH,Dassault,Falcon 8X,FA8X,,,,
4400b3,OE-LDB,Airbus,A319 111,A319,,AUSTRIAN,AUA,
342213,EC-JFT,Cessna,Citation V,C560,Sky Helicopteros,HELISKY,HSY,
44ccc8,OO-SFH,Airbus Industrie,A330-342,A333,Brussels Airlines,BEE-LINE,BEL,SN
49514e,CS-TJN,Airbus,A321 251N,A21N,Tap Portugal,AIR PORTUGAL,TAP,TP
394a06,F-GSQG,Boeing,777 328ER,B77W,Air France,AIRFRANS,AFR,AF
3991ea,F-HEPK,Airbus Industrie,Airbus A320-214(SL),A320,Air France,AIRFRANS,AFR,AF
344695,EC-MFL,Airbus,A320 232SL,A320,,VUELING,VLG,
