icao24,registration,manufacturername,model,typecode,operator,operatorcallsign,operatoricao,operatoriata
406a95,G-EZWU,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
4851af,PH-BHD,Boeing,787 9,B789,,KLM,KLM,
461fa1,OH-LZL,Airbus,A321 231SL,A321,,FINNAIR,FIN,
407898,G-ZBLA,Boeing Company,Boeing 787-10,B78X,British Airways,SPEEDBIRD,BAW,BA
461f69,OH-LXH,Airbus,A320 214,A320,,FINNAIR,FIN,
0200af,CN-ROZ,Boeing,737NG 8B6/W,B738,Royal Air Maroc,ROYALAIR MAROC,RAM,AT
48506c,PH-TFL,Boeing,787 8,B788,,ARKEFLY,TFL,
a4158a,N362UP,Boeing,767-346,B763,United Parcel Service,UPS,UPS,5X
4402ac,OE-IJY,,,A320,,,,
4cad44,EI-IFA,,,A359,,,,
345353,EC-MOM,Boeing,787 8,B788,,EUROPA,AEA,
45ac50,OY-KBP,Airbus,A319 132,A319,,SCANDINAVIAN,SAS,
392aeb,F-GKXL,Airbus,Airbus A320 214,A320,,AIRFRANS,AFR,
a89d59,N654UA,Boeing,767-322,B763,,UNITED,UAL,
4ca730,EI-DSX,Airbus Industrie,A320-216,A320,,AIR BERLIN,BER,
4b17fb,HB-JCD,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,Swiss International Air Lines,SWISS,SWR,LX
3c6444,D-AIBD,Airbus,A319 112,A319,,LUFTHANSA,DLH,
a8b75a,N66051,Boeing,767-424ER,B764,,UNITED,UAL,
4009d9,G-EUUL,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
02a1a5,TS-INF,Airbus Industrie,,A320,Nouvel Air Tunisie,NOUVELAIR,LBT,BJ
ac0cab,N876AL,Boeing,787-8,B788,,,,
440cfe,OE-LVK,,,A319,,,,
394c18,F-GTAY,Airbus,A321 212,A321,,AIRFRANS,AFR,
3c6586,D-AILF,Airbus,A319 114,A319,,LUFTHANSA,DLH,
4bcdf9,TC-SOY,Boeing,737-8HC,B738,Sunexpress,SUNEXPRESS,SXS,XQ
a4c34c,N406DX,Airbus,A330-941,A339,Delta Air Lines,DELTA,DAL,DL
a07dcd,N13018,Boeing,787-10,B78X,United Airlines,UNITED,UAL,UA
49530c,CS-TXL,,,A21N,,,,
3949e4,F-GSPE,Boeing,777 228ER,B772,,AIRFRANS,AFR,
44d1ba,OO-TMZ,,,B38M,,,,
a17ecd,N196DN,Boeing,767-332,B763,,DELTA,DAL,
abbb2c,N855NW,Airbus,A330-223,A332,,DELTA,DAL,
345204,EC-MKV,Airbus,A319 112,A319,,VUELING,VLG,
400a25,G-EUUP,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
885171,HS-TKQ,Boeing,777 3ALER,B77W,,THAI,THA,
4d22ae,9H-LMH,,,A320,,,,
440175,OE-IJO,,,A320,,,,
3c6571,D-AIKQ,Airbus,A330 343E,A333,,LUFTHANSA,DLH,
4068f0,G-JAGA,Embraer Sa,EMB-505 Phenom 300,E55P,London Executive Aviation,LONEX,LNX,
484445,PH-AOF,Airbus,A330 203,A332,,KLM,KLM,
502cc8,YL-CSC,Bombardier,C Series 300,BCS3,,AIRBALTIC,BTI,
484a91,PH-PXA,Eurocopter,EC135 P2+,EC35,Klpd Police Aviation Service,ZXP01,,
4b15ef,HB-IHZ,Airbus,A320-214,A320,Edelweiss Air,EDELWEISS,EDW,WK
4243c3,VQ-BVB,Boeing,Boeing 747 83QF,B748,,,,
a4ad69,N400J,Gulfstream Aerospace Corp,GVI (G650ER),GLF6,,,,
484c59,PH-HSB,Boeing,737NG 8K2/W,B738,,TRANSAVIA,TRA,
39e681,F-HZUB,,A220-300,BCS3,Air France,AIRFRANS,AFR,AF
341207,EC-GOV,Cessna,Citation V,C560,,,,
471f64,HA-LXC,Airbus,A321 231SL,A321,,WIZZ AIR,WZZ,
3c66ba,D-AIUZ,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
40690d,G-EZWL,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
3c66e8,D-AIWH,Airbus Industrie,A320-214,A320,Lufthansa,LUFTHANSA,DLH,LH
4b984f,TC-FBO,Airbus,Airbus A320 214,A320,,,,
4d21f0,9H-QAH,Boeing,737-8AS,B738,Malta Air Limited - Malta,,MAY,
3c6641,D-AIRA,Airbus,Airbus A321 131,A321,,LUFTHANSA,DLH,
400f99,G-DBCJ,Airbus Sas,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
4d223b,9H-QCQ,Boing,737-800,B738,Malta Air,,,
49514a,CS-TJJ,Airbus,A321 251N,A21N,Tap Portugal,AIR PORTUGAL,TAP,TP
346186,EC-NFH,,,A20N,,,,
3c4ad7,D-ABVW,Boeing,747 430,B744,,LUFTHANSA,DLH,
471a81,HA-KAZ,,,AT76,,,,
3c5ee2,D-AGWB,Airbus,A319 132,A319,,GERMAN WINGS,GWI,
40097c,G-EUUA,Airbus Industrie,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
3c0c99,D-ATUA,Boeing,Boeing 737NG 8K5/W,B738,,,TUI,
396448,F-GZCI,Airbus,A330 203,A332,,AIRFRANS,AFR,
78029e,B-2425,Boeing,747 40BERF,B744,China Cargo Airlines,CARGO KING,CKK,CK
344694,EC-MFK,Airbus,A320 232SL,A320,,VUELING,VLG,
400982,G-EUUG,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
485a83,PH-TFP,,,B38M,,,,
78100b,B-7898,Boeing,787 9,B789,,AIR CHINA,CCA,
345559,EC-MRL,,,GLF5,,,,
407463,G-TTNB,Airbus Industrie,A320-251N,A20N,British Airways,SPEEDBIRD,BAW,BA
49521a,CS-TPZ,,,E190,,,,
3c6675,D-AISU,Airbus,A321 231,A321,,LUFTHANSA,DLH,LH
e06589,LV-FVI,Airbus,A330 202,A332,,ARGENTINA,ARG,
a9b275,N724AN,Boeing,777-323ER,B77W,American Airlines,AMERICAN,AAL,AA
407799,G-XWBC,Airbus Industrie,A350-1041,A35K,British Airways,SPEEDBIRD,BAW,BA
3c6758,D-AIZX,Airbus,Airbus A320 214SL,A320,,LUFTHANSA,DLH,
33fceb,MM62332,,,GLF5,,,,
486442,PH-GHZ,,,C56X,,,,
406947,G-STBG,Boeing Company,BOEING 777-336ER,B77W,,SPEEDBIRD,BAW,
4952c7,CS-TVG,Airbus,320-251N,A20N,Tap Portugal - Portugal,AIR PORTUGAL,TAP,
4073ce,G-VBEL,Boeing,Boeing 787-9,B789,Virgin Atlantic Airways,VIRGIN,VIR,VS
3c70b5,D-ALEU,Boeing,757-23NPCF/W,B752,European Air Transport,EUROTRANS,BCS,QY
48c2a6,SP-RZG,,,B38M,,,,
4d2022,9H-AEL,Airbus,Airbus A319 112,A319,,AIR MALTA,AMC,
48597d,PH-HXN,,,B738,,,,
a875da,N644UA,Boeing,767-322,B763,,UNITED,UAL,
4855d0,PH-EXN,Embraer,ERJ-175STD,E75L,Klm Cityhopper,KLM,KLC,WA
4cad41,EI-SIN,,,A20N,,,,
3c6745,D-AIZE,Airbus,A320 214,A320,,LUFTHANSA,DLH,
461f4d,OH-LWF,Airbus,A350 941,A359,,FINNAIR,FIN,
3c1baf,D-AZMO,Airbus,A300 F4-622RF,A306,European Air Transport,EUROTRANS,BCS,QY
aa70b1,N772CK,Boeing,777F1H,B77L,,,,
34608e,EC-NAY,,,A20N,,,,
4d2247,9H-QDF,Boeing,Boeing 737-8AS (W),B738,Malta Air,,MMO,
345686,EC-MUK,,,A320,,,,
485779,PH-EXS,Embraer S.a.,Embraer ERJ-175STD,E75L,Klm Cityhopper,CITY,KLC,WA
4841ad,PH-BQN,Boeing,777 206ER,B772,,KLM,KLM,
34134d,EC-HUH,Airbus,A321 212,A321,,IBERIA,IBE,
c051e4,C-GFAH,Airbus Industrie,A330-343 (Airbus),A333,,AIR CANADA,ACA,
48418b,PH-BXP,Boeing,737NG 9K2/W,B739,,KLM,KLM,
3c6469,D-AICI,,Airbus A320-212,A320,Condor Flugdienst,CONDOR,CFG,DE
3c66b3,D-AIUS,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
a49ae3,N396UP,Boeing,767-300,B763,United Parcel Service,UPS,UPS,5X
89620a,A6-EGI,Boeing,777 31HER,B77W,,EMIRATES,UAE,
4ac9e3,SE-ROC,Airbus,A320 251NSL,A20N,,SCANDINAVIAN,SAS,
3c70c1,D-ALFA,Boeing,Boeing 777-FBT,B77L,,LUFTHANSA CARGO,GEC,
3985a9,F-HBNJ,Airbus,A320 214,A320,,AIRFRANS,AFR,
39cea1,F-HTVB,Boeing,737NG 8K2/W,B738,,FRENCH SUN,TVF,
406591,G-STBE,Boeing Company,BOEING 777-36NER,B77W,British Airways,SPEEDBIRD,BAW,BA
738068,4X-EKI,Boeing,737NG 86N/W,B738,,ELAL,ELY,
3c6704,D-AIXD,Airbus,A350 941,A359,,LUFTHANSA,DLH,
44093e,OE-IJW,Airbus,A320-214,A320,Easyjet,EASY,EZY,U2
407371,G-VNYL,,Boeing 787-9,B789,Virgin Atlantic Airways,VIRGIN,VIR,VS
4cc50e,TF-ICE,,737-8,B38M,Icelandair,ICEAIR,ICE,FI
484c24,PH-EZH,Embraer,EMB-190 STD,E190,,CITY,KLC,
3c6583,D-AILC,Airbus,A319 114,A319,,LUFTHANSA,DLH,
a8e132,N671UA,Boeing,767-322,B763,,UNITED,UAL,
0900f0,D2-TEJ,Boeing,777 3M2ER,B77W,,DTA,DTA,
39a205,F-HIQF,,,B738,,,,
48c22b,SP-RSL,,,B738,,,,
4d22c6,9H-LOA,,,A320,,,,
39e693,F-HZUT,,,BCS3,,,,
4d2304,9H-VUF,,,B38M,Ryanair,RYANAIR,RYR,FR
495213,CS-TPS,Embraer,EMB-190 LR,E190,,AIR PORTUGAL,TAP,
47c968,LN-LNO,Boeing Company,B787-9,B789,Norwegian Air Shuttle,NOR SHUTTLE,NAX,DY
47873f,LN-DYM,,,B738,,,,
400960,G-TTOE,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
4ba9c9,TC-JNI,Airbus,A330 343E,A333,,TURKAIR,THY,
461f59,OH-LWR,,A350-941,A359,Finnair,FINNAIR,FIN,AY
34520e,EC-MMG,Airbus,A330 202,A332,,IBERIA,IBE,
a2b8b8,N2747U,Boeing,777-300ER,B77W,United Airlines,UNITED,UAL,UA
02007d,CN-ROR,Boeing,737NG 8B6/W,B738,Royal Air Maroc,ROYALAIR MAROC,RAM,AT
4a08ea,YR-BGJ,Boeing,737NG 800/W,B738,,TAROM,ROT,
469e45,SX-GRE,,,A20N,,,,
abbee3,N856NW,Airbus,A330-223,A332,,DELTA,DAL,
4d242b,9H-WAW,,,A21N,,,,
3423c4,EC-JRE,Airbus,A321 212,A321,,IBERIA,IBE,
406a3e,G-EUYU,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
484416,PH-BQM,Boeing,777 206ER,B772,,KLM,KLM,
461f9d,OH-LZH,Airbus,A321 231SL,A321,,FINNAIR,FIN,
3c65c1,D-AINA,Airbus,A320 271NSL,A20N,,LUFTHANSA,DLH,
3c6589,D-AILI,Airbus,A319 114,A319,,LUFTHANSA,DLH,
4b1883,HB-JHJ,Airbus,A330-343,A333,Swiss International Air Lines,SWISS,SWR,LX
780c5b,B-2091,Boeing,Boeing 777-FFT,B77L,,,,
a641b6,N502DN,Airbus Sas,A350-941,A359,,DELTA,DAL,
a9bd9a,N727AN,Boeing,777-323ER,B77W,,AMERICAN,AAL,
4951ee,CS-TON,Airbus,A330 202,A332,,AIR PORTUGAL,TAP,
3c648b,D-AIDK,Airbus,A321 231,A321,,LUFTHANSA,DLH,
4bcda2,TC-SMB,,737-8 MAX,B38M,Sunexpress,SUNEXPRESS,SXS,XQ
39cf11,F-HTYR,,,A359,,,,
76cef1,9V-SWQ,Boeing,777 312ER,B77W,,SINGAPORE,SIA,SQ
486201,PH-DTF,Dassault,Falcon 900,F900,Exxaero,,,
485ecd,PH-BVV,Boeing,777-300(ER),B77W,Klm,KLM,KLM,KL
4ca61c,EI-DWO,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
484b32,PH-EZE,Embraer,EMB-190 STD,E190,,CITY,KLC,
4bcde9,TC-SOI,,,B38M,,,,
495149,CS-TJI,,,A21N,,,,
780504,B-2001,Boeing,777 39PER,B77W,,CHINA EASTERN,CES,
48ad02,SP-LIC,Embraer,EMB-175 SD,E75S,,POLLOT,LOT,
4b1617,HB-IJN,Airbus,A320-214,A320,Swiss International Air Lines,SWISS,SWR,LX
4ca707,EI-EBK,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
4d2212,9H-QCB,Boeing,Boeing 737-8AS (W),B738,Malta Air,,MAY,
345318,EC-MOU,Airbus,A330 202,A332,,IBERIA,IBE,
88516e,HS-TKN,Boeing,777 3ALER,B77W,,THAI,THA,
345698,EC-MVC,Bombardier,CRJ-1000,CRJX,Air Nostrum,AIR NOSTRUM,ANE,YW
3c6561,D-AIKA,Airbus,A330 343X,A333,,LUFTHANSA,DLH,
48628c,PH-EBM,,,PC24,,,,
345251,EC-MLT,Boeing,787-8,B788,Air Europa,EUROPA,AEA,UX
a8cffd,N667UA,Boeing,767-322,B763,,UNITED,UAL,
4ca4f4,EI-DPP,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
71c041,HL8041,Boeing,Boeing 777-3B5(ER),B77W,Korean Air,KOREANAIR,KAL,KE
44cdc2,OO-SNB,Airbus,A320 214,A320,Brussels Airlines,BEE-LINE,BEL,SN
89408e,A9C-FD,,787-9 Dreamliner,B789,Gulf Air,GULF AIR,GFA,
3c4ec7,D-ACVG,Airbus,A330-343(P2F),A333,European Air Transport,EUROTRANS,BCS,QY
4d204a,9H-GMT,Dassault,Dassault Falcon 900LX,F900,,,,
344195,EC-LOJ,Bombardier,CRJ 1000 NG,CRJX,,AIR NOSTRUM,ANE,
405ee0,G-EUYC,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
a2587f,N250LG,Dassault Aviation,FALCON 7X,FA7X,,,,
4d222b,9H-QEO,,,B738,,,,
405bfe,G-YMMU,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
3c6595,D-AILU,Airbus,A319 114,A319,,LUFTHANSA,DLH,
3c65da,D-AINZ,Airbus Industrie,A320-271N,A20N,Lufthansa,LUFTHANSA,DLH,LH
4ca256,EI-DHA,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
4bccb0,TC-SEP,Boeing,737NG 8HC/W,B738,,SUNEXPRESS,SXS,
06a0e6,A7-AMG,Airbus,A350-941,A359,Qatar Airways,QATARI,QTR,QR
406ec9,G-XLEK,Airbus Sas,AIRBUS A380-841,A388,,SPEEDBIRD,BAW,
406531,G-EUYL,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
4863db,PH-NXC,Embraer,E195-E2,E295,Klm Cityhopper,KLM,KLC,WA
344459,EC-LVR,Boeing,737NG 85P/W,B738,,EUROPA,AEA,
4bc84f,TC-RBO,,,A21N,,,,
34258f,EC-KDX,Airbus,A320 216,A320,,VUELING,VLG,
3949f0,F-GSPQ,Boeing,777 228ER,B772,,AIRFRANS,AFR,
40666b,G-EZUR,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
484c1b,PH-EZG,Embraer,EMB-190 STD,E190,,CITY,KLC,
48d635,SP-ZSZ,Bombardier,Challenger 300,CL30,,,,
a1f90e,N226UA,Boeing,777-222,B772,,UNITED,UAL,
347219,EC-NTA,,,A20N,,,,
44ccc7,OO-SFG,Airbus Industrie,A330-343,A333,Brussels Airlines,BEE-LINE,BEL,SN
347387,EC-NXD,,A350-941,A359,Iberia Airlines,IBERIA,IBE,IB
406e69,G-EZOX,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
40097f,G-EUUD,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
484162,PH-BXI,Boeing,737NG 8K2/W,B738,,KLM,KLM,
4d2329,9H-EVA,,DHC-8-402Q Dash 8,DH8D,Luxwing,,LWG,
342104,EC-JFH,Airbus,A320 214,A320,,,IBS,
4caa57,EI-EVR,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
4951d4,CS-TNT,Airbus,A320 214SL,A320,,AIR PORTUGAL,TAP,
440607,OE-LZB,Airbus Industrie,A320-214,A320,Austrian Airlines,AUSTRIAN,AUA,OS
781001,B-7835,Boeing,787 9,B789,,HAINAN,CHH,
4ca84d,EI-EME,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
4cad2b,EI-HEW,,,B38M,,,,
502d28,YL-AAX,,A220-300,BCS3,Air Baltic,AIRBALTIC,BTI,BT
4ca2d5,EI-DLI,The Boeing Company,BOEING 737-8AS,B738,Ryanair,RYANAIR,RYR,FR
c058c3,C-GHPY,The Boeing Company,787-8 (Boeing),B788,,AIR CANADA,ACA,
46b82c,SX-NAL,,,A21N,,,,
4009d8,G-EUUK,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
495308,CS-TXH,,A321-251NX(LR),A21N,Tap Portugal,AIR PORTUGAL,TAP,TP
a8ac35,N658UA,Boeing,767-322,B763,,UNITED,UAL,
392af0,F-GKXQ,Airbus,A320 214,A320,,AIRFRANS,AFR,
485a32,PH-BCG,Boeing Company,737-8K2,B738,Klm,KLM,KLM,KL
407ac1,G-TUMO,,,B38M,,,,
aaa4dc,N785UA,Boeing,777-222,B772,,UNITED,UAL,
e48ba9,PT-MUG,Boeing,777 32WER,B77W,,TAM,TAM,
3c5426,D-AEAF,Airbus,A300 B4-622RF,A306,European Air Transport,EUROTRANS,BCS,QY
010243,SU-GFS,Airbus Industrie,A321-251NX,A21N,Egyptair,EGYPTAIR,MSR,MS
44ce79,OO-SSY,Airbus Industries,A319 112,A319,Brussels Airlines,BEE-LINE,BEL,SN
345102,EC-MIQ,Airbus,A319 112,A319,,VUELING,VLG,
461f9a,OH-LZE,Airbus,A321 211,A321,,FINNAIR,FIN,
3cdc92,D-CKVI,,,E55P,,,,
3453cc,EC-MQP,Boeing,737NG 800/W,B738,Air Europa,EUROPA,AEA,UX
4cac7a,EI-SIK,,,A20N,,,,
40087a,G-EUPK,Airbus Industrie,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
4d227b,9H-QDV,,,B738,,,,
4d2392,9H-MLB,,,A320,,,,
4077e0,G-NEOW,Airbus,A321-251NX,A21N,British Airways,SPEEDBIRD,BAW,BA
4d2402,9H-WAD,,,A21N,,,,
3c66b6,D-AIUV,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
a4fc9a,N420LA,Boeing,767-316F,B763,,MAS CARGA,MAA,
3b7542,F-UJCU,,,A332,,,,
4caaa8,EI-IMW,Airbus Industrie,A319-111,A319,,ALITALIA,AZA,
c01755,C-FIVS,The Boeing Company,777-333ER (Boeing),B77W,,AIR CANADA,ACA,
495146,CS-TJF,Airbus,A321 211,A321,,AIR PORTUGAL,TAP,
40771a,G-VDOT,,A350-1041,A35K,Virgin Atlantic Airways,VIRGIN,VIR,VS
461fa9,OH-LZT,,,A321,,,,
3c7438,D-AMAX,,,B38M,,,,
3443d3,EC-LVO,Airbus,A320 214SL,A320,,VUELING,VLG,
3c6751,D-AIZQ,Airbus,A320 214SL,A320,,EUROWINGS,EWG,
c06a82,C-GOIR,,,A21N,,,,
39e683,F-HZUD,,Airbus A220-300,BCS3,Air France,AIRFRANS,AFR,AF
4ca704,EI-EBG,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
3c66a3,D-AIUC,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
4ca9d3,EI-EVK,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
40095d,G-TTOB,Airbus Industrie,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
3442c2,EC-LRH,Avions De Transport Regional,ATR 72 600,AT76,,AIR NOSTRUM,ANE,
39d301,F-HUYB,,,B738,,,,
3c64ee,D-AIGN,Airbus,A340 313X,A343,,LUFTHANSA,DLH,
a0a545,N14011,Boeing,787-10,B78X,United Airlines,UNITED,UAL,UA
76cdb4,9V-SMT,Airbus,A350 941,A359,,SINGAPORE,SIA,
495216,CS-TPV,Embraer,EMB-190 LR,E190,,AIR PORTUGAL,TAP,
4bb28e,TC-LTN,,,A21N,,,,
406bbb,G-EUYY,Airbus Sas,AIRBUS A320-232,A320,,SPEEDBIRD,BAW,
ab10cb,N812AA,Boeing,787-8,B788,American Airlines,AMERICAN,AAL,AA
3c4ad9,D-ABVY,Boeing,747 430,B744,,LUFTHANSA,DLH,
4ca2ad,EI-DHZ,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
a6ff6a,N550,Gulfstream Aerospace,GV-SP (G550),GLF5,,,,
3c65d9,D-AINY,Airbus Industrie,A320-271N,A20N,Lufthansa,LUFTHANSA,DLH,LH
344481,EC-LXQ,Airbus,A320 216SL,A320,,IBERIA,IBE,
40600e,G-EZTD,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
407992,G-STBM,,,B77W,British Airways,SPEEDBIRD,BAW,BA
ac10d8,N877FD,Boeing,777F,B77L,Federal Express,FEDEX,FDX,FX
342188,EC-JFN,Airbus,A320 214,A320,,IBERIA,IBE,
406d7a,G-ZBKD,Boeing Company,BOEING 787-9 Dreamliner,B789,,SPEEDBIRD,BAW,
4d2421,9H-WAL,,,A21N,,,,
347288,EC-NTP,,,A20N,,,,
4077d3,G-VTEA,,A350-1041,A35K,Virgin Atlantic Airways,VIRGIN,VIR,VS
494106,CS-PHF,Embraer,Phenom 300,E55P,,,,
4ca6a6,EI-DYR,The Boeing Company,BOEING 737-8AS,B738,Ryanair,RYANAIR,RYR,FR
4074e4,G-ZBJM,Boeing,Boeing 787-8,B788,British Airways,SPEEDBIRD,BAW,BA
39cf0e,F-HTYO,,,A359,,,,
4952c9,CS-TVI,,Airbus A320-251N,A20N,Tap Portugal,AIR PORTUGAL,TAP,TP
3c6481,D-AIDA,Airbus,A321 231,A321,,LUFTHANSA,DLH,
a01f37,N107FE,Boeing,767-3S2F,B763,Federal Express,FEDEX,FDX,FX
aaa32d,N785AV,Boeing,787-8,B788,, S.A.,AVA,
4d207b,9H-CFC,,,SIRA,,,,
4d244d,9H-GKJ,,,A320,,,,
4caab4,EI-IMX,Airbus Industrie,A319-111,A319,,ALITALIA,AZA,
71c250,HL8250,Boeing,Boeing 777-3B5(ER),B77W,Korean Air,KOREANAIR,KAL,KE
a8ec57,N674UA,Boeing,767-322,B763,,UNITED,UAL,
71002a,HZ-ARA,Boeing,787 9,B789,,SAUDIA,SVA,
4bb062,TC-LCB,,,B38M,,,,
3c09f2,D-ASTX,Airbus,A319 112,A319,,EUROWINGS,EWG,
4852f6,PH-EXI,Embraer,EMB-175 200STD,E75L,Klm Cityhopper,KLM,KLC,WA
c051e6,C-GFAJ,Airbus Industrie,A330-343 (Airbus),A333,,AIR CANADA,ACA,
48418d,PH-BXS,Boeing,737NG 9K2/W,B739,,KLM,KLM,
48455f,PH-BVB,Boeing,777 306ER,B77W,,KLM,KLM,
346310,EC-NFM,Boeing,787-9 Dreamliner,B789,Air Europa,EUROPA,AEA,UX
04c11c,5Y-KZF,Boeing,787 8,B788,Kenya Airways,KENYA,KQA,KQ
4b028b,HB-AZB,Embraer,E190-E2,E290,Helvetic Airways,HELVETIC,OAW,2L
485874,PH-EXX,Embraer,Embraer ERJ-175,E75L,Klm Cityhopper,KLM,KLC,WA
347343,EC-NVR,,A350-941,A359,,,,
3c6649,D-AIRI,Boeing,Boeing 737NG 86J/W,B738,,MERAIR,ISS,
a4c2ad,N4058J,Airbus,A321-271NX,A21N,Jetblue Airways,JETBLUE,JBU,B6
ab5867,N830AN,Boeing,787-9,B789,,AMERICAN,AAL,
3c4b2e,D-ABYN,Boeing,747 830,B748,,LUFTHANSA,DLH,
873334,JA933A,,,B789,Air Japan,AIR JAPAN,AJX,NQ
39856e,F-HBLO,Embraer,ERJ-190STD (190-100),E190,Air France - France,AIRFRANS,AFR,
ab120b,N812NW,Airbus,A330-323,A333,,DELTA,DAL,
4a4d79,YR-SKY,,A320-214,A320,Hisky,,HYS,4H
3c7a49,D-ANRI,,,A339,,,,
485e2f,PH-BKI,,,B78X,,,,
3949e0,F-GSPA,Boeing,777 228ER,B772,,AIRFRANS,AFR,
3949ed,F-GSPN,Boeing,777 228ER,B772,Air France,AIRFRANS,AFR,AF
3c0aca,D-ATCF,,,A321,,,,
48414c,PH-HZG,Boeing,737NG 8K2/W,B738,,TRANSAVIA,TRA,
c0103e,C-FGDX,The Boeing Company,787-9 (Boeing),B789,,AIR CANADA,ACA,
4bb068,TC-LCH,,737-8 MAX,B38M,Turkish Airlines,TURKISH,THY,TK
4008b1,G-EUPP,Airbus Industrie,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
392aed,F-GKXN,Airbus,A320 214,A320,,AIRFRANS,AFR,
486494,PH-NXK,,,E295,,,,
801406,VT-TSH,,,B789,,,,
39cf07,F-HTYH,Airbus Industrie,A350-941,A359,Air France,AIRFRANS,AFR,AF
40749a,G-ZBKS,Boeing,787-9 Dreamliner,B789,British Airways,SPEEDBIRD,BAW,BA
4a08ec,YR-BGL,Boeing,737-800,B738,Tarom,TAROM,ROT,RO
aaa326,N785AN,Boeing,777-223,B772,,AMERICAN,AAL,
4cad49,EI-IFF,,,A359,,,,
896481,A6-EUW,Airbus,A380 842,A388,,EMIRATES,UAE,
04008b,ET-ARI,Boeing,777 F60,B77L,Ethiopian Airlines,ETHIOPIAN,ETH,ET
8005f1,VT-ANH,Boeing,787 8,B788,,AIRINDIA,AIC,
346182,EC-NBG,,,AT76,,,,
34250a,EC-JZM,Airbus,A321 212,A321,,IBERIA,IBE,
76cd79,9V-SKY,,A380-841 ,A388,Singapore Airlines,SINGAPORE,SIA,SQ
4cc2a3,TF-FIN,Boeing,757 208/W,B752,,ICEAIR,ICE,
3c64f3,D-AIGS,Airbus,A340 313X,A343,,LUFTHANSA,DLH,
406d92,G-EZOM,Airbus Sas,AIRBUS A320-214,A320,,EASY,EZY,
3c65d6,D-AINV,Airbus Industrie,,A20N,Lufthansa,LH2471,DLH,LH
34324e,EC-KUB,Airbus,A319 111,A319,,IBERIA,IBE,
46b822,SX-NAB,,,A21N,,,,
738073,4X-ECC,Boeing,777 258ER,B772,,ELAL,ELY,
a9178d,N685UA,Boeing,767-3CB,B763,United Airlines,UNITED,UAL,UA
a560f3,N446AM,Boeing,787-9,B789,Aeroméxico,AEROMEXICO,AMX,AM
c085d5,C-GYRS,Piper Aircraft Corporation,B787-9,B789,Westjet,WESTJET,WJA,WS
3c66ea,D-AIWJ,Airbus Industrie,A320-214,A320,Lufthansa,LUFTHANSA,DLH,LH
4b1619,HB-IJP,Airbus,A320-214,A320,Swiss International Air Lines,SWISS,SWR,LX
3c4582,D-AALB,Boeing,Boeing 777-FZN,B77L,Aerologic,BOX,BOX,3S
34660b,EC-NTI,,,A20N,,,,
3c48f0,D-ABGP,Airbus,A319 112,A319,,EUROWINGS,EWG,
407798,G-XWBB,Airbus,350-1041,A35K,British Airways,SANTA,XMS,
494103,CS-PHC,Embraer,Phenom 300,E55P,,,,
34648a,EC-NMK,,,B734,,,,
781343,B-1080,,A350-941,A359,Air China,AIR CHINA,CCA,CA
3949e6,F-GSPG,Boeing,777 228ER,B772,,AIRFRANS,AFR,
873312,JA932A,,,B789,Air Japan,AIR JAPAN,AJX,NQ
394a01,F-GSQB,Boeing,777 328ER,B77W,,AIRFRANS,AFR,
